Threads,btree_read,btree_insert,btree_prefix_read,btree_prefix_insert,btree_adprefix_read,btree_adprefix_insert,roart_read,roart_insert
1,400695,152701,389578,144903,396382,146736,251490,159716
5,2011740,734607,1964902,703135,1989923,711442,1289233,785717
10,3976997,1394087,3869275,1338425,3937878,1349951,2572488,1497088
20,7814777,2494201,7608179,2417025,7723965,2438274,5097849,2668862
30,10678027,3010069,10395894,2919933,10746485,2981475,6739820,3321303
40,13541991,3599483,13102153,3487369,13731381,3533775,8294265,4003368
60,12295841,2719874,12484256,2716671,12034620,2607990,6412285,2324534
80,11495987,2453880,12088209,2419571,10500831,2356874,6349906,2163390
