Threads,btree_read,btree_insert,btree_prefix_read,btree_prefix_insert,btree_adprefix_read,btree_adprefix_insert,masstree_read,masstree_insert
1,755591,478403,950960,574492,985385,567785,1087215,701445
5,3911818,2391685,4932608,2868664,5048830,2829848,5554326,3472436
10,7880739,4732288,9923955,5662141,10136251,5600410,11136216,6766804
20,15716082,9320074,19786629,11011967,20151822,10944568,22031064,12529080
30,21486907,11514121,27016712,13592567,27451456,13336997,30650613,15267690
40,27162334,14957033,34174868,17817103,34689869,17425205,38984547,18254435
60,37125791,19245494,45194248,20114165,46565321,20534307,46708451,18263006
80,45816331,20726536,55137035,22567564,56483698,22762135,54107378,17034213
