Threads,btree_read,btree_insert,btree_prefix_read,btree_prefix_insert,btree_adprefix_read,btree_adprefix_insert,roart_read,roart_insert
1,460721,167116,513072,171638,491292,167786,422313,225487
5,2312544,806753,2578716,825914,2465728,807190,2205771,1073281
10,4608028,1537468,5122740,1566543,4894280,1533708,4455683,1994850
20,9047034,2735869,10021718,2813970,9610261,2775715,8739379,3423848
30,12557419,3351483,14070533,3444583,13498543,3369208,12053270,4123038
40,16073648,4019069,18014149,4094457,17292924,4007061,15087616,4731766
60,15589681,3177494,16000290,3290029,16514584,3235631,8714434,2728448
80,14858503,2831946,15002201,2808886,15611415,2845149,7203272,2409944
