Threads,btree_read,btree_insert,btree_prefix_read,btree_prefix_insert,btree_adprefix_read,btree_adprefix_insert,masstree_read,masstree_insert
1,612493,424400,647671,451459,742620,505894,861655,580747
5,3178162,2132977,3321189,2264431,3657868,2542628,4501406,2880822
10,6384550,4210950,6648648,4481159,7284280,5037755,9063117,5614155
20,12841636,8374388,13365055,8933358,14743876,9904756,17919256,10733282
30,17568895,10753843,18053027,11134927,19799487,12449038,24832153,13493475
40,22327170,14045723,22709366,14489648,25173410,16342003,31359393,16430307
60,28999196,18018241,29068074,19017632,31841970,21440854,35100110,16591205
80,35307089,20499604,34043764,20522072,37801879,22387887,38277107,15812004
